no,Tweet
1,Bank rate is right
2,Can we hold this to earn like Bitcoin?
3,Excellent information. 
4,We want crypto as asset 
5,Bank rate
6,RBI has made a history
7,Where I buy this coin
8,Not good 
9,I think all the transactions above certain limit(like 5 lakhs) should be done digitally. So that black money problem will resolve to some extent.
10,Reverse repo
11,Most educated people work in RBI
12,Sir can we exchange digital rupee with cash when required?
13,B
14,Rivas repo
15,Like crytocurrency.....
16,Nice
17,PPP
18,Reverse Repo
19,Bank Rate
20,Tq
21,Difference between UPI vs digital
22,Thanks  sir 
23,How will it help in remmitance and forex ?
24,Bank Rate
25,that what the ruch dad said government will keep u poor
26,"Good step by the government. Crypto currency koi currency nhi hai , currency wo hoti hai jisse government back kare otherwise uski koi ahmiyat nhi hai wo bekar hai"
27,Gone are the days when my India was adopting pre established technology in the West.
28,bank rate
29,How will it affect poor people those who don't have smartphones
30,Good information
31,c. bank rate
32,Digital currency = end of corruption.
33,Bank rate....
34,2000 ka note band kar dena chahiye aur ise digital form me lana चाहिए
35,This idea is theft from paytm Paytm wallet transfer to bank zero charges
36,Digital rupees will be more beneficial for government to manage the currency but for normal people UPI is doing the same thing. After retail digi we will have one more real time payment option.
37,"Bold move, but they could've avoided including chinese bank (HsBc) in its initial operations."
38,another imp ascpect of digital currency is that it will help preventing evasion of money from financial system as due to this reason only govt has reduced circulation of Rs. 2k notes
39,Will it increases the denomination supply?
40,It will decrease corruption.
41,Digital Rupee BLOCKCHAIN based hai ya nhi?
42,V good
43,Reverse Repo
44,How to own this
45,Ye paise ko cash main convert nahi kar sakte in short
46,Problem for who is hoarding the money means black money. It is very good step for RBI.
47,One more disaster is coming soon. Exactly like notbandi. No doubt scheme is good but can't trust on govt.
48,From where we can get digital rupee
49,@studyiq Will the value of digital rupee be equal to the value of printed rupee?   Will bank help us with cash in exchange of this digital rupee?
50,How is it going to be different from the money lying in our bank account ?? This CBBC concept is just irrational. What purpose will it be going to serve if the intrinsic value will be the same as INR.
51,Bitcoin
52,Rupee ka value fluctuate hoga kya? Jaisa bitcoin ka hota hai
53,Can we invest retail digital coins
54,Nice
55,Learnt alot thanku so much sir
56,Moving to risk
57,Bank rate!!
58,Thankyou very much 
59,Amazing move by RBI 🇮🇳
60,very focused video
61,A Ankit sir ek bar PI coin ko bhi video banalijiye please .
62,"Indian Rupee, UPI and Rupay card is going International ..!!"
63,Bank rate
64,Bank rate
65,Great explanation
66,Wah
67,Bitcoin is better
68,Great
69,This will destroy crypto currency
70,How to earn digital rupees?. Please reply.
71,"Sir , hacking ho skta h kya????"
72,Good move of government and RBI
73,"Get ready for digital slavery, CBDCs are here."
74,Will Crypto holders use CBDC?
75,Sir. Please explain QAnon
76,Digital currency is different then UPI. Interesting!!
77,RBI👏👏👏👏👏
78,How to earn this?
79,New  start...
80,It's an nice initiative by RBI.. Hope to become it a great success
81,Pehli bar dekha announcementt ke itne kam din ke andr koi government approved kaam hone ja raha he modi he to mumkin he
