no,Tweet
0,Its way to unemployment in banking institutions
1,"Through direct transfer central government directly buy votes,  so subsidies will come directly from central government normal times state government divert money to free bies and corruption offers to politicians."
2,Sir without internet nahi bol rahe hai due to duplicate transaction
3,Superb content
4,"Theyre going to launch this on a blockchain, which means theyll track everything.    Where you spend your money, where you get it from, what you buy and sell, and tax you on everything    If youve the guts you disagree with something government pushes on you, theyll have the power to freeze your accounts.    Thats why its fuck*d"
5,"Misinterpreted content, u have to be clear"
6,The one and most suited thing you never need to sell is *good*. You dont have to take my words for it a s I'mple investigation to why everyone writes this is enough
7,E-RUPI and e-Rupee are different as I understand. One is voucher system another is CBDC.
8,Thanks akshat. Feels good to know the details.
9,"I dont agree with your argument that only 8% of  INR is in cash   amp rest are in digital format currently. Fact is for every so called digital currency (i.e. paytm or bank account) there is a back up of physical currency either with the commercial bank or with the central bank (RBI). So these UPI, NEFT,  I'mPS, RTGS, Cheques are all based on physical currency   amp commercial banks clear their records for transfers within themselves at the end of the day with the help of RBI. Point is RBI have to print   amp reprint these paper notes   amp coins with huge expenses. With CBDC this this huge cost will evaporates. Add on benefit is you can not store it as black money. So your basic argument is not correct."
10,"Akshat, LOVED this video."
11,instead of such useless thing govt can increase upi limit and no of transaction above ten   charge 1 or 2 rupess after limit
12,i fell asleep watching your explanation  .....
13,"I dont know if  I'missed out on two crucial points which are the tackling of counterfeit and the capture of black money. And in the long run the money can be vertically split into many types like carmoney foodmoney etc., In such a way that you cant buy car with foodmoney and food with carmoney. This will allow one or two persons to eventually control interest and inflation targets by spend category. Hope lessons will be learnt in hindsight. Man eats man."
14,"Happy to see someone say this. Even if you like the government and the current folks in power, remember that one day someone else will sit on that chair. This is why the best a well-intentioned gov can do is reduce its size, max I'mize freedoms and unleash creativity through low taxes and regulations."
15,Only benefit I see is being able to make payments even when there is zero connectivity with internet. I do use GPay. I have linked a Zero Balance account with it where in I keep no more than ₹ 2000  - to limit my risk in the event of hacking or physical loss of the phone. So even in this case if I were to get an account or what ever I would maintain no more than a couple thouand rupees as emergency should I get stranded in the middle of nowhere and need to pay someone. So no matter what the landing capacity of commercial banks is not going to be affected much. For me there is ZERO incentive to subscribe to this service.
16,Digital currency means your money can be confiscated by the Government at the click of a mouse. Government is desperate to control public    's money.
17,Digital Rupee won’t change anything right now but in future it might help Govt to track black money if adopted on wide scale
18,KDA is more prominent in every manner.
19,CBDC seems great...but I have a concern...as that digital rupee would not have any asset to back it... wouldnt it be same like printing unlimited money..  N wouldnt it lead to problems like depreciation of rupees value to extra demand.
20,Ethereum and Solana can do all of them and lot more...and it is not controlled by any central bank...then why do we need Govt or Central Bank controlled digital currency...
21,Only 21 banks partner with e-Rupi
22,"I thought cbdc digital rupee was a counter to crypto, basically RBI controlled crypto for the public.....    ERupi is a digital voucher so the spend happens where it is meant for n misappropriation of funds do not happen."
23,"Well people who know, will know  CBDC is the final nail on SWIFT and US monopoly"
24,"It more looked like a politically motivated video, Every country in world is mad according to this guy, each and every country is trying to introduce CBDC  atleast please don’t use your channel for politics."
25,"This is clearly an additional way of keeping digital currency. Neither govt is forcing nor you are bound to use. This will work like the wallet of paytm Or phonepay where you don    't get interest. So in any wallet system, you don    't get interest. Only when you want to use, you can transfer and use. I don    't see any risks absolutely. Comparing with china.. It    's a shame. Everyone knows how China is controlled. It is good to argue, but intentions should be correct"
26,E-RUPI IS DIFFERENT AND E-RUPEE IS BOTH HAVE DIFFERENT WORK TO DO...
27,"Did not give any proper information on the eRupi and how the transactions will take place. How is it different from UPI and will it need internet connection   The whole focus looked like political speech.   Interesting we are very open to give our information to google, ethereum, and so on.. but somehow don    't want our govt. to know what we are doing.    Many countries including US, Europe are introducing digital currency. Why give example of only china It shows the intention to give half information to creat a wrong  I'mpression."
28,Thanks
29,I have answer what is the real a I'm of CBDC    To enslave you
30,"Cbdc will require a lot of servers to handle, government should rethink"
31,I would rather live in bangladesh than use erupee.
32,Rajan always find problems with every economic policy of Modi Govt. and we all know why. Any way there are always difficulties and cons on something new like CBDC
33,"I just got into your video Very very good, THIS VIDEO I BELIEVE YOU LET YOURSELF DOWN AS YOU NEVER EXPLAIN THAT THE DIGITAL IS PROGRAMABLE  mean the money is more like a voucher, the Government can say you can only buy this or that, if you had the video would be on point thanks"
34,"What if the Indian Government wants to build the infrastructure for all major economies with CBDC for free initially, this gives big upper hand over china."
35,Mind blowing explanation if this channel was ter while I was in my school days i would have taken commerce group
36,Thank you for the good contents as always
37,"But there is a loss in this CBDC for user and for banks too bro, our banks integrated with savings account which give interest either in the form of UPI or deposit, but CBDC donot give interests as it is just s I'milar to having cash at our home instead in digital form, this is major disadvantage unlike like Bitcoins where there rarity exceeds the value than Central bank digital currency"
38,"Isnt it about state control Its the end of democracy should you disagree, do the wrong thing or God forbid political destruction of any opposition Its a tool of oppression in that the state has absolute power over ALL.  of course itll be only sold as a benefit to humanity, ending poverty and cr I'me etc etc. Not the true purpose of totalitarian authority My all the gods be with us."
39,I think cbdc may harm or kill most of the other private currencies. Decentralisation looking no way near.
40,Smart and govt will get people hooked on subsidies and then they will starting collecting taxes directly on transactions.   Later on if govt wants you will have your capability to buy stuff stopped by govt while you run pillar to post trying to find what happened to their wealth.   No thank you.
41,"I greatly admire what Modi has done for India but I have reservations about these CBDCs. Programmable money could be used by dictators like Xi Jin Ping to control people using things like social credit systems. When the money is programmable and controlled by the government then its not really your money, your wealth can be stolen or wiped out if the government decides it doesnt like you."
42,But how to get the retail cbdc And what will be its value
43,Please change the BGM
44,"I dont know how much it benefits India especially there is a lack of knowledge  education. Also, if block chain technology adopted then there wont be any dictatorship like US dollars. Although things will be easier but then there is security or the illigal activity concern."
45,on this basis of crypto tech   amp our ancient coin system i had written in my book “ sakshat-vigyan”  amp also suggestion given to our beloved PM having potential to enhance indian economy worldwide   amp surprised that pmo is thinking over   they had d I'mand reaction from rbi also
