,Date,User,Tweet
0,2022-12-08 23:44:58+00:00,patriotcluster,"You can watch this guys channel on YouTube, he makes sense on lots of points...

Here is his take on CBDCs 👇

#CBDC 
#CBDCs 
#DigitalID 
#DigitalRupee 

https://t.co/vqHey2bWoP"
1,2022-12-08 22:04:54+00:00,curbservicetmf,#free #lildurk x #EstGee type beat Street Champions https://t.co/kz9kN9hdMq via @YouTube #TikTok #NFTs #Musica #DigitalRupee #music #SoundCloud #independentartist #producerlife #Rappers #rap #hiphopmusic #support #ViralVideos @yesitsvip #popmusic #SupportSmallBusinesses #tmf
2,2022-12-08 21:36:03+00:00,shahryar_90k,"The biggest problem with digital currencies is #accessibility for customers. #Picoin solves it.

#BTC #ETH #NFT #NFTs #Bitcoin #PiNetwork #SHIB #cryptocurrency #CryptoInvestor #usdt #USD #CBDC #OKX #BNB #Binance #Blockchain #cryptocrash #DigitalRupee #DigitalCurrency #Currencies https://t.co/bg0p4yblkG"
3,2022-12-08 20:41:30+00:00,sforceit,"""The aim is to transform data into information, and information into an overview.""

#DataAnalytics #DataCenter #DataScience #TrendingNow #Trending #updateforall #SouthgateOut  #DesignatedSurvivor #designtwitter #DigitalRupee 

@TDataScience 
@bushuev_online  
@BecomingDataSci https://t.co/GTjpCZlkFA"
4,2022-12-08 18:52:36+00:00,FintraSupport,"The RBI Digital Rupee (e₹) is the digital version of the Indian Rupee. Read the complete guide on what is Digital Rupee in India &amp; how it works in our latest blog: https://t.co/xKlygdJpnr

#cbdc #rbi #digitalrupee #erupee #fintra #finance https://t.co/0A3UL16QIe"
5,2022-12-08 18:16:31+00:00,KohliShobhit,Rs 10 Digital Rupee note in my wallet #rbi #erupee #CBDC https://t.co/bCGbuh3J9N
6,2022-12-08 18:16:02+00:00,MrNiteshTiwari,#DigitalRupee #RBI #CBDC https://t.co/z4LkoBQY1N
7,2022-12-08 16:38:36+00:00,daya6565,"RBI Governor explaining key difference between UPI nd Digital currency ....Get ready for new future of payments

#DigitalRupee #DigitalIndia #DrAGRI #INDIA https://t.co/aUcj1152nt"
8,2022-12-08 16:30:24+00:00,CryptowithRsk,"@nrjkhandelwal The same can be mentioned for @CoinDCX too 😅 Is it just open to stand against @binance

I believe your answer is no🤞
So do the #DigitalRupee

India lawmakers are planning it considering the 140 crore population."
9,2022-12-08 16:26:50+00:00,mashish76,"Installed Digital Ruppe wallet, seamless in loading the money and using the App.
Wonderful experience.
Waiting for using it in spending..
#ReserveBankofIndia 
#DigitalRupee 
#IDFCFIRSTBank 
#DigitalIndia"
10,2022-12-08 16:00:08+00:00,aajtakradio,"डिजिटल करेंसी का इस्तेमाल क्यों आसान रहने वाला है और इससे जुड़े कनफ़्यूजन क्या हैं, साल के सबसे सस्ते बजट स्मार्टफ़ोन और नकली iPhone पहचानने के टिप्स, सुनिए 'सबका मालिक Tech' में @manast10, @ashri_k और @_AmanRashid_ के साथ. #DigitalRupee #TechPodcast

▶️ https://t.co/oOuillMeli https://t.co/jwMWlobZBK"
11,2022-12-08 15:04:49+00:00,OfficersComrade,"RBI Launches Digital Rupee: How it is Different from UPI?
#DigitalRupee #RBI #UPI #npci #indianeconomy #economy #5trillioneconomy https://t.co/QXnKkTcS6s"
12,2022-12-08 13:29:21+00:00,Ram72258976,"#CBDC ❤️

#DigitalRupee"
